Date,Transaction
1/1/2024,37643876.28
1/2/2024,29324733.15
1/3/2024,31685688.86
1/4/2024,32675133.87
1/5/2024,32476951.38
1/6/2024,33871737.62
1/7/2024,35282079.72
1/8/2024,29258990.08
1/9/2024,30661020
1/10/2024,30705190.7
1/11/2024,30703209.5
1/12/2024,31829778.46
1/13/2024,33819634.59
1/14/2024,36005958.61
1/15/2024,31288577.79
1/16/2024,30430109.66
1/17/2024,33522556.99
1/18/2024,31753461.82
1/19/2024,31474362.75
1/20/2024,36485365.6
1/21/2024,36625979.13
1/22/2024,29998813.16
1/23/2024,31331077.56
1/24/2024,32438148.24
1/25/2024,33534928.07
1/26/2024,31048266.89
1/27/2024,36852096.93
1/28/2024,36368249.4
1/29/2024,31045942.49
1/30/2024,30082761.29
1/31/2024,43136673.77
2/1/2024,29828057.92
2/2/2024,31055154.08
2/3/2024,35024851.08
2/4/2024,33679910.72
2/5/2024,27920008.11
2/6/2024,29465850.01
2/7/2024,31007235.07
2/8/2024,30969014.68
2/9/2024,31712961.64
2/10/2024,32785340.07
2/11/2024,32989532.42
2/12/2024,28864257.4
2/13/2024,30676370.67
2/14/2024,32258488.14
2/15/2024,32439558.31
2/16/2024,29793583.89
2/17/2024,33935805.83
2/18/2024,33043343.77
2/19/2024,30723041.95
2/20/2024,28374823.62
2/21/2024,29954168.81
2/22/2024,29867119.68
2/23/2024,29502367.7
2/24/2024,35256258.64
2/25/2024,34798947.59
2/26/2024,30190741.86
2/27/2024,28263929.14
2/28/2024,31313036.78
2/29/2024,39501284.17
3/1/2024,29726479.83
3/2/2024,34676396.16
3/3/2024,35674043.09
3/4/2024,28870667.33
3/5/2024,29239552.17
3/6/2024,32548165.54
3/7/2024,32492876.34
3/8/2024,32559569.08
3/9/2024,34893433.37
3/10/2024,35833209.68
3/11/2024,30532004.71
3/12/2024,28984388.34
3/13/2024,32435224.7
3/14/2024,31775769.25
3/15/2024,32429501.28
3/16/2024,33159829.71
3/17/2024,34280111.43
3/18/2024,28540390.57
3/19/2024,29083397.75
3/20/2024,31977778.55
3/21/2024,31685359.01
3/22/2024,32849178.83
3/23/2024,33157590.67
3/24/2024,34098078.28
3/25/2024,30979653.79
3/26/2024,31033668.46
3/27/2024,30890054.33
3/28/2024,29884639.52
3/29/2024,32786569.31
3/30/2024,32994678.22
3/31/2024,43992938.15
4/1/2024,32055176.83
4/2/2024,34814203.5
4/3/2024,34344328.87
4/4/2024,33820769.99
4/5/2024,34761126.45
4/6/2024,39590282.79
4/7/2024,39616036.56
4/8/2024,34702971
4/9/2024,32899755.73
4/10/2024,35743128.5
4/11/2024,33446190.6
4/12/2024,34856645.39920952
4/13/2024,48080362.34984675
4/14/2024,46152055.26908725
4/15/2024,38784623.08490961
4/16/2024,32088673.702512614
4/17/2024,34038055.34403042
4/18/2024,36063819.07726521
4/19/2024,33345138.3
4/20/2024,37835960.724007346
4/21/2024,38840940.45721874
4/22/2024,34073463.479673356
4/23/2024,33615818.53215328
4/24/2024,34599707.47376889
4/25/2024,34651282.07127844
4/26/2024,36166426.28722106
4/27/2024,36721185.20426451
4/28/2024,38801565.67847146
4/29/2024,32568223.258035112
4/30/2024,41732126.015319794
5/1/2024,29349512.87375699
5/2/2024,30999871.695341855
5/3/2024,30330171.91419979
5/4/2024,32839424.73967665
5/5/2024,32774390.22
5/6/2024,28225210.841176875
5/7/2024,29913848.57202967
5/8/2024,29550685.964772906
5/9/2024,29625333.917171113
5/10/2024,29178358.15816007
5/11/2024,35217025.13446802
5/12/2024,32960741.409307107
5/13/2024,30362403.116141263
5/14/2024,29295554.673221312
5/15/2024,29635630.079519212
5/16/2024,31043703.173261523
5/17/2024,29918938.19638139
5/18/2024,32916698.943599295
5/19/2024,33206209.997884754
5/20/2024,28315928.85
5/21/2024,28490898.86
5/22/2024,30727645.67
5/23/2024,32170500.17
5/24/2024,30081767.34
5/25/2024,33448118.17
5/26/2024,33652685.42
5/27/2024,28074286.55
5/28/2024,30088802.64
5/29/2024,31810776.25
5/30/2024,29515721.46
5/31/2024,41814326.09
6/1/2024,34012231.28
6/2/2024,32981920.42
6/3/2024,28593856.23
6/4/2024,29354588.84
6/5/2024,29864562.12
6/6/2024,30358802.47
6/7/2024,29769796.59
6/8/2024,35009014.12
6/9/2024,33401899.83
6/10/2024,30336735.31
6/11/2024,30817973.94
6/12/2024,29939495.33
6/13/2024,30144677.92
6/14/2024,30597145.75
6/15/2024,35976314.05
6/16/2024,32677227.12
6/17/2024,30041570.15
6/18/2024,28813937.57
6/19/2024,30695373.02
6/20/2024,32653419.66
6/21/2024,31538309.75
6/22/2024,34556782.88
6/23/2024,34387502.02
6/24/2024,30084590.31
6/25/2024,30625066.32
6/26/2024,29821210.64
6/27/2024,31555317.58
6/28/2024,30691211.37
6/29/2024,34612653.32
6/30/2024,43905541.44
7/1/2024,28359139.12
7/2/2024,30237966.03
7/3/2024,30787225.33
7/4/2024,32010158.52
7/5/2024,30906631.49
7/6/2024,36321993.1
7/7/2024,35278039.75
7/8/2024,30826526.68
7/9/2024,30653306.47
7/10/2024,31068214.09899459
7/11/2024,30136267.87288203
7/12/2024,32130946.220492825
7/13/2024,34900672.46281996
7/14/2024,34357674.055787064
7/15/2024,29658947.633994907
7/16/2024,31489327.266929366
7/17/2024,31282065.016613133
7/18/2024,30440501.49724726
7/19/2024,31896210.529633254
7/20/2024,33617824.79771967
7/21/2024,36355472.40591009
7/22/2024,30157920.503268436
7/23/2024,31005926.100526083
7/24/2024,31051414.36204119
7/25/2024,32723302.02146729
7/26/2024,30772281.894411445
7/27/2024,34673375.08460491
7/28/2024,33882085.71619962
7/29/2024,29960990.657349262
7/30/2024,29275665.281842962
7/31/2024,41113186.57509828
8/1/2024,31757903.941641264
8/2/2024,32477962.02520527
8/3/2024,36990596.93224818
8/4/2024,36202078.072020575
8/5/2024,31793835.49
8/6/2024,31384705.29353442
8/7/2024,31808949.260086823
8/8/2024,31410032.367444895
8/9/2024,31833668.41168394
8/10/2024,34690341.03467913
8/11/2024,34154058.29222233
8/12/2024,31681555.53156344
8/13/2024,29939593.75390231
8/14/2024,32347866.12695092
8/15/2024,33576827.698329605
8/16/2024,31239503.929257307
8/17/2024,35598001.20584342
8/18/2024,36007552.330439135
8/19/2024,30918716.822937444
8/20/2024,30533872.35624135
8/21/2024,33222136.922361832
8/22/2024,33659822.6
8/23/2024,31055711.21655488
8/24/2024,34488137.69066326
8/25/2024,34293120.94697769
8/26/2024,31025048.68845222
8/27/2024,31353164.60043516
8/28/2024,31721065.17921951
8/29/2024,30558117.032844633
8/30/2024,30776185.90598722
8/31/2024,47175511.514736615
9/1/2024,36866348.618709646
9/2/2024,31287715.154010624
9/3/2024,31130428.910341635
9/4/2024,35569154.67699106
9/5/2024,33980355.02386446
9/6/2024,33381531.614946038
9/7/2024,37108376.890956946
9/8/2024,38599607.576210335
9/9/2024,31126536.742732123
9/10/2024,31088312.07580698
9/11/2024,34357282.68361665
9/12/2024,33989558.40538082
9/13/2024,32904142.669776075
9/14/2024,37171763.45267931
9/15/2024,38907056.65647458
9/16/2024,31051299.52096247
9/17/2024,31752514.512017544
